"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                            Primary energy consumption"	"sdg_07_10"	"table"	"14.10.2025"	"11.07.2025"	"2005"	"2023"	2113
"                        Energy intensity"	"nrg_ind_ei"	"dataset"	"19.12.2024"	"19.12.2024"	"1990"	"2023"	4166
"                        Energy productivity"	"nrg_ind_ep"	"dataset"	"19.12.2024"	"19.12.2024"	"1990"	"2023"	2076
"                        Available energy, energy supply and final energy consumption per capita"	"nrg_ind_esc"	"dataset"	"19.12.2024"	"19.12.2024"	"1990"	"2023"	49428
"                        Energy imports dependency"	"nrg_ind_id"	"dataset"	"19.12.2024"	"19.12.2024"	"1990"	"2023"	17121
"                            Energy import dependency by products"	"sdg_07_50"	"table"	"19.12.2024"	"19.12.2024"	"2000"	"2023"	3612
"                        Import dependency on third countries by fuel type"	"nrg_ind_id3cf"	"dataset"	"17.01.2025"	"17.01.2025"	"2010"	"2023"	3304
"                        Natural gas import dependency by country of origin"	"nrg_ind_idogas"	"dataset"	"29.09.2022"	"25.04.2024"	"2015"	"2020"	1722
"                        Oil and petroleum products import dependency by country of origin"	"nrg_ind_idooil"	"dataset"	"03.10.2022"	"25.04.2024"	"2015"	"2020"	2706
"                        Share of fossil fuels in gross available energy"	"nrg_ind_ffgae"	"dataset"	"19.12.2024"	"19.12.2024"	"1990"	"2023"	1317
"                        Share of fuels in final energy consumption"	"nrg_ind_fecf"	"dataset"	"19.12.2024"	"19.12.2024"	"1990"	"2023"	44743
"                        Electricity production and self-consumption by sector and fuel"	"nrg_ind_epsc"	"dataset"	"21.08.2025"	"26.02.2025"	"1990"	"2023"	22555
"                        Energy import origin concentration index by fuel"	"nrg_ind_ioc"	"dataset"	"30.01.2024"	"30.01.2024"	"2015"	"2021"	4537
"                        Diversity index of energy supply"	"nrg_ind_di"	"dataset"	"30.01.2024"	"30.01.2024"	"1990"	"2022"	891
"                        Diversity index of final energy consumption by sector"	"nrg_ind_difec"	"dataset"	"30.01.2024"	"30.01.2024"	"1990"	"2022"	22484
"                        Energy self-reliance"	"nrg_ind_esr"	"dataset"	"30.01.2024"	"30.01.2024"	"1990"	"2022"	891
"                        Heat pumps - ambient heat"	"nrg_ind_hpind"	"dataset"	"25.06.2025"	"03.04.2025"	"1990"	"2023"	3569
"                        Final energy consumption in households – quantities per square meter"	"nrg_ind_fechm2"	"dataset"	"04.03.2025"	"04.03.2025"	"2023"	"2023"	90
"                    Share of energy from renewable sources"	"nrg_ind_share"	"folder"	" "	" "	" "	" "	
"                        Share of energy from renewable sources"	"nrg_ind_ren"	"dataset"	"02.10.2025"	"14.02.2025"	"2004"	"2023"	2987
"                        Use of renewables for transport - details"	"nrg_ind_urtd"	"dataset"	"02.10.2025"	"02.10.2025"	"2004"	"2024"	37506
"                        Use of renewables for electricity - details"	"nrg_ind_ured"	"dataset"	"02.10.2025"	"02.10.2025"	"2004"	"2024"	19729
"                        Use of renewables for heating and cooling - details"	"nrg_ind_urhcd"	"dataset"	"02.10.2025"	"02.10.2025"	"2004"	"2024"	22479
"                        Calculation of overall target - details"	"nrg_ind_cotd"	"dataset"	"02.10.2025"	"02.10.2025"	"2004"	"2024"	12648
"                        Heat pumps - technical characteristics by technology and climate"	"nrg_ind_hptctc"	"dataset"	"02.10.2025"	"02.10.2025"	"2004"	"2024"	173376
"                        Heat pumps - ambient heat captured by technology and climate"	"nrg_ind_ahbtc"	"dataset"	"02.10.2025"	"02.10.2025"	"2004"	"2024"	61010
"                        Statistical transfers, joint projects and joint support schemes"	"nrg_ind_stjpjss"	"dataset"	"02.10.2025"	"02.10.2025"	"2004"	"2024"	16383
"                        Contribution of renewable fuels to gross final consumption of energy"	"nrg_ind_rfce"	"dataset"	"02.10.2025"	"02.10.2025"	"2021"	"2024"	2596
"                        Share of renewable fuels in gross final consumption of energy from renewables"	"nrg_ind_rfcer"	"dataset"	"02.10.2025"	"20.11.2024"	"2021"	"2023"	2552
"                        Share of renewable fuels in total gross final consumption of energy"	"nrg_ind_rftce"	"dataset"	"02.10.2025"	"20.11.2024"	"2021"	"2023"	2552
"                        Renewable cooling - ambient energy by technology"	"nrg_ind_rcaebt"	"dataset"	"02.10.2025"	"02.10.2025"	"2021"	"2024"	2478
"                        Renewable cooling - technical characteristics by technology"	"nrg_ind_rctcbt"	"dataset"	"02.10.2025"	"02.10.2025"	"2021"	"2024"	3498
"                        Imports of biomethane through the grid"	"nrg_ind_ibmg"	"dataset"	"02.10.2025"	"02.10.2025"	"2021"	"2024"	19470
"                        Exports of biomethane through the grid"	"nrg_ind_ebmg"	"dataset"	"02.10.2025"	"02.10.2025"	"2021"	"2024"	19470
"                    Energy infrastructure and capacities"	"nrg_inf"	"folder"	" "	" "	" "	" "	
"                        District heating and district cooling (DH-DC)"	"nrg_inf_dhdc"	"folder"	" "	" "	" "	" "	
"                            Capacities, productions and losses in district networks by type of network and type of plant"	"nrg_dhdc_cpl"	"dataset"	"09.01.2025"	"09.01.2025"	"2019"	"2022"	2779
"                            Energy removed from district networks by customers, type of networks and efficiency of network"	"nrg_dhdc_e"	"dataset"	"09.01.2025"	"09.01.2025"	"2019"	"2022"	875
"                            Number and length of district networks by type of network and efficiency of network"	"nrg_dhdc_n"	"dataset"	"09.01.2025"	"09.01.2025"	"2019"	"2022"	519
"                            Customers by type of district network and efficiency of network"	"nrg_dhdc_c"	"dataset"	"09.01.2025"	"09.01.2025"	"2019"	"2022"	217
"                        Combined heat and power (CHP) generation"	"nrg_inf_chp"	"folder"	" "	" "	" "	" "	
"                            Capacities, production, fuel used and energy savings in combined heat and power (CHP) by type of plant, generation technologies and primary energy savings levels"	"nrg_chp_cpfe"	"dataset"	"26.09.2025"	"26.09.2025"	"2017"	"2023"	60923
"                            Number of combined heat and power (CHP) units by type of plant, generation technologies and primary energy savings levels"	"nrg_chp_n"	"dataset"	"29.08.2025"	"28.08.2025"	"2017"	"2023"	4334
"                            Fuel used in combined heat and power"	"nrg_chp_f"	"dataset"	"29.08.2025"	"28.08.2025"	"2017"	"2023"	4109
"                        Electricity production capacities by main fuel groups and operator"	"nrg_inf_epc"	"dataset"	"21.08.2025"	"26.02.2025"	"1990"	"2023"	55869
"                        Electricity production capacities for renewables and wastes"	"nrg_inf_epcrw"	"dataset"	"25.06.2025"	"26.11.2024"	"1990"	"2023"	48846
"                        Electricity production capacities for combustible fuels by technology and operator"	"nrg_inf_epct"	"dataset"	"21.08.2025"	"02.12.2024"	"1990"	"2023"	13360
"                        Liquid biofuels production capacities"	"nrg_inf_lbpc"	"dataset"	"25.06.2025"	"26.11.2024"	"1990"	"2023"	5354
"                        Solar thermal collectors' surface"	"nrg_inf_stcs"	"dataset"	"25.06.2025"	"26.11.2024"	"1990"	"2023"	1339
"                        Heat pumps - technical characteristics by technologies"	"nrg_inf_hptc"	"dataset"	"25.06.2025"	"26.11.2024"	"1990"	"2023"	63596
"                        Nuclear energy facilities"	"nrg_inf_nuc"	"dataset"	"21.01.2025"	"08.11.2024"	"2009"	"2023"	4686
"                        Batteries power capacities and energy storage"	"nrg_inf_bt"	"dataset"	"21.08.2025"	"26.02.2025"	"1990"	"2023"	7520
"                    Stocks"	"nrg_stk"	"folder"	" "	" "	" "	" "	
"                        Stock levels for oil products"	"nrg_stk_oil"	"dataset"	"10.04.2025"	"18.12.2024"	"1990"	"2023"	107789
"                        Stock levels for gaseous and liquefied natural gas"	"nrg_stk_gas"	"dataset"	"24.06.2025"	"13.12.2024"	"1990"	"2023"	14065
"                    Trade by partner country"	"nrg_t"	"folder"	" "	" "	" "	" "	
"                        Imports"	"nrg_ti"	"folder"	" "	" "	" "	" "	
"                            Imports of solid fossil fuels by partner country"	"nrg_ti_sff"	"dataset"	"25.06.2025"	"12.12.2024"	"1990"	"2023"	3100015
"                            Imports of oil and petroleum products by partner country"	"nrg_ti_oil"	"dataset"	"10.04.2025"	"18.12.2024"	"1990"	"2023"	8444228
"                            Imports of natural gas by partner country"	"nrg_ti_gas"	"dataset"	"24.06.2025"	"13.12.2024"	"1990"	"2023"	886381
"                            Imports of biofuels by partner country"	"nrg_ti_bio"	"dataset"	"25.06.2025"	"26.11.2024"	"1990"	"2023"	1325217
"                            Imports of electricity and derived heat by partner country"	"nrg_ti_eh"	"dataset"	"21.08.2025"	"02.12.2024"	"1990"	"2023"	440453
"                        Exports"	"nrg_te"	"folder"	" "	" "	" "	" "	
"                            Exports of solid fossil fuels by partner country"	"nrg_te_sff"	"dataset"	"25.06.2025"	"12.12.2024"	"1990"	"2023"	3100004
"                            Exports of oil and petroleum products by partner country"	"nrg_te_oil"	"dataset"	"10.04.2025"	"18.12.2024"	"1990"	"2023"	8440822
"                            Exports of natural gas by partner country"	"nrg_te_gas"	"dataset"	"24.06.2025"	"13.12.2024"	"1990"	"2023"	886378
"                            Exports of biofuels by partner country"	"nrg_te_bio"	"dataset"	"25.06.2025"	"26.11.2024"	"1990"	"2023"	1325305
"                            Exports of electricity and derived heat by partner country"	"nrg_te_eh"	"dataset"	"21.08.2025"	"02.12.2024"	"1990"	"2023"	440435
"                Energy statistics - quantities, monthly data"	"nrg_quantm"	"folder"	" "	" "	" "	" "	
"                    Supply, transformation and consumption - commodity balances - monthly data"	"nrg_cb_m"	"folder"	" "	" "	" "	" "	
"                        Supply and transformation of solid fossil fuels - monthly data"	"nrg_cb_sffm"	"dataset"	"15.10.2025"	"15.10.2025"	"2008-01"	"2025-08"	300723
"                        Supply and transformation of oil and petroleum products - monthly data"	"nrg_cb_oilm"	"dataset"	"27.10.2025"	"27.10.2025"	"2008-01"	"2025-09"	2693476
"                        Crude oil supply - monthly data"	"nrg_cb_cosm"	"dataset"	"10.10.2025"	"01.09.2025"	"2005-01"	"2025-08"	23991
"                        Supply, transformation and consumption of gas - monthly data"	"nrg_cb_gasm"	"dataset"	"27.10.2025"	"07.10.2025"	"2008-01"	"2025-09"	116061
"                        Supply, transformation and consumption of electricity - monthly data"	"nrg_cb_em"	"dataset"	"15.10.2025"	"14.10.2025"	"2008-01"	"2025-08"	41185
"                        Electricity available to internal market"	"nrg_cb_eim"	"dataset"	"15.10.2025"	"14.10.2025"	"2008-01"	"2025-08"	16733
"                        Net electricity generation by type of fuel - monthly data"	"nrg_cb_pem"	"dataset"	"15.10.2025"	"14.10.2025"	"2008-01"	"2025-08"	192608
"                    Trade by partner country"	"nrg_t_m"	"folder"	" "	" "	" "	" "	
"                        Imports"	"nrg_ti_m"	"folder"	" "	" "	" "	" "	
"                            Imports of oil and petroleum products by partner country - monthly data"	"nrg_ti_oilm"	"dataset"	"27.10.2025"	"27.10.2025"	"2008-01"	"2025-09"	21972959
"                            Imports of natural gas by partner country - monthly data"	"nrg_ti_gasm"	"dataset"	"27.10.2025"	"07.10.2025"	"2008-01"	"2025-09"	2314834
"                            Crude oil imports by field of production - monthly data"	"nrg_ti_coifpm"	"dataset"	"10.10.2025"	"01.09.2025"	"2005-01"	"2025-08"	3662550
"                        Exports"	"nrg_te_m"	"folder"	" "	" "	" "	" "	
"                            Exports of oil and petroleum products by partner country - monthly data"	"nrg_te_oilm"	"dataset"	"27.10.2025"	"27.10.2025"	"2008-01"	"2025-09"	21095230
"                            Exports of natural gas by partner country - monthly data"	"nrg_te_gasm"	"dataset"	"27.10.2025"	"07.10.2025"	"2008-01"	"2025-09"	2127301
"                    Stocks"	"nrg_stk_m"	"folder"	" "	" "	" "	" "	
"                        Stock levels for oil products - monthly data"	"nrg_stk_oilm"	"dataset"	"27.10.2025"	"27.10.2025"	"2013-01"	"2025-09"	7161363
"                        Oil stocks held for other countries - monthly data"	"nrg_stk_oom"	"dataset"	"27.10.2025"	"27.10.2025"	"2013-01"	"2025-09"	19458987
"                        Oil stocks held abroad - monthly data"	"nrg_stk_oam"	"dataset"	"27.10.2025"	"27.10.2025"	"2013-01"	"2025-09"	40616961
"                        Emergency oil stocks in days equivalent - monthly data"	"nrg_stk_oem"	"dataset"	"27.10.2025"	"27.10.2025"	"2013-01"	"2025-09"	26449
"                        Stock levels for gas products - monthly data"	"nrg_stk_gasm"	"dataset"	"27.10.2025"	"07.10.2025"	"2008-01"	"2025-09"	34742
"                Energy statistics - quantities, short-term monthly data"	"nrg_quantstm"	"folder"	" "	" "	" "	" "	
"                    Supply oil - short term monthly data"	"nrg_jodi"	"dataset"	"10.02.2022"	"25.04.2024"	"2008-01"	"2021-12"	230454
"                    Supply natural gas - short term monthly data"	"nrg_ind_343m"	"dataset"	"10.02.2022"	"25.04.2024"	"2008-01"	"2021-12"	32850
"                    Supply electricity - short term monthly data"	"nrg_ind_342m"	"dataset"	"09.03.2020"	"03.01.2024"	"2008-01"	"2019-12"	22490
"            Energy statistics - prices of natural gas and electricity"	"nrg_price"	"folder"	" "	" "	" "	" "	
"                Energy statistics - natural gas and electricity prices (from 2007 onwards)"	"nrg_pc"	"folder"	" "	" "	" "	" "	
"                    Gas prices for household consumers - bi-annual data (from 2007 onwards)"	"nrg_pc_202"	"dataset"	"21.10.2025"	"06.10.2025"	"2007-S1"	"2025-S1"	58990
"                    Gas prices for non-household consumers - bi-annual data (from 2007 onwards)"	"nrg_pc_203"	"dataset"	"22.10.2025"	"06.10.2025"	"2007-S1"	"2025-S1"	105300
"                    Electricity prices for household consumers - bi-annual data (from 2007 onwards)"	"nrg_pc_204"	"dataset"	"21.10.2025"	"06.10.2025"	"2007-S1"	"2025-S1"	63360
"                    Electricity prices for non-household consumers - bi-annual data (from 2007 onwards)"	"nrg_pc_205"	"dataset"	"22.10.2025"	"06.10.2025"	"2007-S1"	"2025-S1"	77064
"                    Household consumption volumes of gas by consumption bands"	"nrg_pc_202_v"	"dataset"	"20.10.2025"	"11.04.2025"	"2017"	"2024"	728
"                    Non-household consumption volumes of gas by consumption bands"	"nrg_pc_203_v"	"dataset"	"21.10.2025"	"11.04.2025"	"2017"	"2024"	1200
"                    Household consumption volumes of electricity by consumption bands"	"nrg_pc_204_v"	"dataset"	"21.10.2025"	"04.04.2025"	"2017"	"2024"	1571
"                    Non-household consumption volumes of electricity by consumption bands"	"nrg_pc_205_v"	"dataset"	"22.10.2025"	"07.04.2025"	"2017"	"2024"	1802
"                    Gas prices components for household consumers - annual data"	"nrg_pc_202_c"	"dataset"	"21.10.2025"	"16.04.2025"	"2017"	"2024"	48783
"                    Gas prices components for non-household consumers - annual data"	"nrg_pc_203_c"	"dataset"	"22.10.2025"	"22.10.2025"	"2017"	"2024"	76814
"                    Electricity prices components for household consumers - annual data (from 2007 onwards)"	"nrg_pc_204_c"	"dataset"	"21.10.2025"	"11.04.2025"	"2017"	"2024"	55374
"                    Electricity prices components for non-household consumers - annual data (from 2007 onwards)"	"nrg_pc_205_c"	"dataset"	"22.10.2025"	"11.04.2025"	"2017"	"2024"	66396
"                    Share for transmission and distribution in the network cost for gas and electricity - annual data"	"nrg_pc_206"	"dataset"	"21.10.2025"	"11.04.2025"	"2017"	"2024"	2018
"                Energy statistics - natural gas and electricity prices (until 2007)"	"nrg_pc_h"	"folder"	" "	" "	" "	" "	
"                    Gas prices for domestic consumers - bi-annual data (until 2007)"	"nrg_pc_202_h"	"dataset"	"28.05.2021"	"03.01.2024"	"1985-S1"	"2007-S2"	23196
"                    Gas prices for industrial consumers - bi-annual data (until 2007)"	"nrg_pc_203_h"	"dataset"	"28.05.2021"	"03.01.2024"	"1985-S1"	"2007-S2"	29718
"                    Electricity prices for domestic consumers - bi-annual data (until 2007)"	"nrg_pc_204_h"	"dataset"	"28.05.2021"	"03.01.2024"	"1985-S1"	"2007-S2"	25326
"                    Electricity prices for industrial consumers - bi-annual data (until 2007)"	"nrg_pc_205_h"	"dataset"	"28.05.2021"	"03.01.2024"	"1985-S1"	"2007-S2"	31908
"                    Electricity - marker prices - bi-annual data (until 2007)"	"nrg_pc_206_h"	"dataset"	"18.06.2021"	"03.01.2024"	"1991-S2"	"2007-S1"	3375
"            Energy statistics - market structure indicators - natural gas and electricity"	"nrg_market"	"folder"	" "	" "	" "	" "	
"                Energy market indicator"	"nrg_ind_market"	"dataset"	"24.06.2025"	"17.06.2025"	"2013"	"2024"	7527
"                    Market share of the largest generator in the electricity market"	"ten00119"	"table"	"24.06.2025"	"17.06.2025"	"2013"	"2024"	344
"            Energy statistics - cooling and heating degree days"	"nrg_chdd"	"folder"	" "	" "	" "	" "	
"                Cooling and heating degree days by country - annual data"	"nrg_chdd_a"	"dataset"	"28.03.2025"	"28.03.2025"	"1979"	"2024"	2668
"                Cooling and heating degree days by country - monthly data"	"nrg_chdd_m"	"dataset"	"28.03.2025"	"28.03.2025"	"1979-01"	"2024-12"	32016
"                Cooling and heating degree days by NUTS 3 region - annual data"	"nrg_chddr2_a"	"dataset"	"28.03.2025"	"28.03.2025"	"1979"	"2024"	140705
"                Cooling and heating degree days by NUTS 3 region - monthly data"	"nrg_chddr2_m"	"dataset"	"28.03.2025"	"28.03.2025"	"1979-01"	"2024-12"	1688389
"    Science, technology, digital society"	"science"	"folder"	" "	" "	" "	" "	
"        Science and technology"	"scitech"	"folder"	" "	" "	" "	" "	
"            Research and development (R&D)"	"rd"	"folder"	" "	" "	" "	" "	
"                Gross domestic expenditure on R&D (GERD) at national and regional level"	"rd_e"	"folder"	" "	" "	" "	" "	
"                    GERD by sector of performance"	"rd_e_gerdtot"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	42182
"                        Research and development expenditure by sector of performance"	"tsc00001"	"table"	"29.09.2025"	"02.05.2025"	"2012"	"2023"	2370
"                    GERD by sector of performance and fields of R&D"	"rd_e_gerdsc"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	264155
"                    GERD by source of funds"	"rd_e_fundgerd"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	7543
"                    GERD by sector of performance and source of funds"	"rd_e_gerdfund"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	314102
"                    GERD by sector of performance and type of expenditure"	"rd_e_gerdcost"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	237430
"                    GERD by sector of performance and type of R&D"	"rd_e_gerdact"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	122569
"                    GERD by sector of performance and socioeconomic objectives (NABS 2007)"	"rd_e_gerdsobj07"	"dataset"	"29.09.2025"	"02.05.2025"	"2003"	"2023"	114958
"                    GERD by sector of performance and NUTS 2 region"	"rd_e_gerdreg"	"dataset"	"29.09.2025"	"29.09.2025"	"1980"	"2023"	291906
"                        Intramural R&D expenditure (GERD) by NUTS 2 region"	"tgs00042"	"table"	"29.09.2025"	"29.09.2025"	"2012"	"2023"	2115
"                    GERD by sector of performance and type of institution"	"rd_e_gerdins"	"dataset"	"29.09.2025"	"02.05.2025"	"2021"	"2023"	1867
"                Business enterprise expenditure on R&D (BERD)"	"rd_b"	"folder"	" "	" "	" "	" "	
"                    BERD by NACE Rev. 2 activity"	"rd_e_berdindr2"	"dataset"	"29.09.2025"	"29.09.2025"	"2005"	"2023"	265849
"                    BERD by NACE Rev. 2 activity and source of funds"	"rd_e_berdfundr2"	"dataset"	"29.09.2025"	"29.09.2025"	"2005"	"2023"	904456
"                    BERD by NACE Rev. 2 activity and type of expenditure"	"rd_e_berdcostr2"	"dataset"	"29.09.2025"	"29.09.2025"	"2005"	"2023"	796847
"                    BERD by industry orientation (NACE Rev. 2 activity)"	"rd_e_berdpfr2"	"dataset"	"29.09.2025"	"29.09.2025"	"2005"	"2023"	106685
"                    BERD by size class and source of funds"	"rd_e_berdsize"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	231184
"                    BERD by concentration of personnel (ranking)"	"rd_b_berdcon"	"dataset"	"29.09.2025"	"29.09.2025"	"2021"	"2023"	260
"                R&D personnel at national and regional level"	"rd_p"	"folder"	" "	" "	" "	" "	
"                    R&D personnel by sector of performance, professional position and sex"	"rd_p_persocc"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	69553
"                        Total researchers by sector of performance - head count"	"tsc00003"	"table"	"29.09.2025"	"02.05.2025"	"2012"	"2023"	2021
"                        Total researchers by sector of performance - full time equivalent"	"tsc00004"	"table"	"29.09.2025"	"02.05.2025"	"2012"	"2023"	2313
"                    Share of R&D personnel and researchers in total active population and employment by sector of performance and sex"	"rd_p_perslf"	"dataset"	"29.09.2025"	"02.12.2024"	"1981"	"2023"	59754
"                        Research and development personnel by sector of performance"	"tsc00002"	"table"	"29.09.2025"	"02.12.2024"	"2012"	"2023"	2048
"                    R&D personnel and researchers by sector of performance, educational attainment level and sex"	"rd_p_persqual11"	"dataset"	"29.09.2025"	"02.05.2025"	"2013"	"2023"	32732
"                    R&D personnel and researchers by sector of performance, fields of R&D and sex"	"rd_p_perssci"	"dataset"	"29.09.2025"	"02.05.2025"	"1980"	"2023"	185275
"                    R&D personnel and researchers in business enterprise sector by NACE Rev. 2 activity and sex"	"rd_p_bempoccr2"	"dataset"	"29.09.2025"	"29.09.2025"	"2005"	"2023"	235359
"                    R&D personnel and researchers in business enterprise sector by size class and sex"	"rd_p_perssize"	"dataset"	"29.09.2025"	"02.12.2024"	"1980"	"2023"	16223
"                    R&D personnel and researchers by sector of performance, sex and NUTS 2 region"	"rd_p_persreg"	"dataset"	"29.09.2025"	"29.09.2025"	"1980"	"2023"	621823
"                        Researchers in all sectors by NUTS 2 region"	"tgs00043"	"table"	"29.09.2025"	"29.09.2025"	"2012"	"2023"	2140
"                    Share of female researchers by sector of performance"	"rd_p_femres"	"dataset"	"29.09.2025"	"02.12.2024"	"1987"	"2023"	7176
"                        Share of women researchers in all sectors"	"tsc00006"	"table"	"29.09.2025"	"02.12.2024"	"2012"	"2023"	295
"                        Share of women researchers by sector of performance"	"tsc00005"	"table"	"29.09.2025"	"02.12.2024"	"2012"	"2023"	1957
"                    Researchers by sector of performance, age class and sex"	"rd_p_persage"	"dataset"	"29.09.2025"	"02.12.2024"	"1980"	"2023"	22486
"                    Researchers by sector of performance, country of citizenship and sex"	"rd_p_perscitz"	"dataset"	"29.09.2025"	"02.12.2024"	"1980"	"2023"	21968
"                    R&D personnel and researchers in the business enterprise sector by concentration of personnel (ranking)"	"rd_p_con"	"dataset"	"29.09.2025"	"29.09.2025"	"2021"	"2023"	510
"                    Researchers in the higher education sector by seniority category"	"rd_p_sen"	"dataset"	"29.09.2025"	"29.09.2025"	"2021"	"2023"	375
"                Government budget allocations for R&D (GBARD)"	"gba"	"folder"	" "	" "	" "	" "	
"                    GBARD by socioeconomic objectives (NABS 2007)"	"gba_nabsfin07"	"dataset"	"28.07.2025"	"28.07.2025"	"2004"	"2026"	126117
"                        Share of government allocations for R&D (GBARD) allocated to defence and total civil socio-economic objectives"	"tsc00008"	"table"	"28.07.2025"	"28.07.2025"	"2013"	"2024"	1392
"                    Share of GBARD in total general government expenditure"	"gba_nabste"	"dataset"	"29.07.2025"	"28.07.2025"	"1980"	"2024"	1028
"                    GBARD by type of funding"	"gba_fundmod"	"dataset"	"29.07.2025"	"29.07.2025"	"2007"	"2026"	8116
"                    National public funding to transnationally coordinated R&D"	"gba_tncoor"	"dataset"	"28.07.2025"	"28.07.2025"	"2007"	"2026"	13652
"                Research and development (R&D) - historical data"	"rd_h"	"folder"	" "	" "	" "	" "	
"                    GERD by sector of performance and socioeconomic objectives (NABS 1992) (1980-2007)"	"rd_e_gerdsobj92"	"dataset"	"11.05.2011"	"03.01.2024"	"1981"	"2006"	94062
"                    BERD by NACE Rev. 1.1 activity (1981-2010)"	"rd_e_berdind"	"dataset"	"30.11.2011"	"03.01.2024"	"1981"	"2010"	143617
"                    BERD by NACE Rev. 1.1 activity and type of expenditure (1981-2010)"	"rd_e_berdcost"	"dataset"	"10.03.2021"	"03.01.2024"	"1981"	"2010"	511140
"                    BERD by NACE Rev. 1.1 activity and source of funds (1981-2010)"	"rd_e_berdfund"	"dataset"	"10.03.2021"	"03.01.2024"	"1981"	"2010"	504475
"                    R&D personnel and researchers in business enterprise sector by NACE Rev. 1.1 activity and sex (1980-2010)"	"rd_p_bempocc"	"dataset"	"30.11.2011"	"03.01.2024"	"1980"	"2010"	105451
"                    R&D personnel and researchers by sector of performance, educational attainment level (ISCED1997) and sex (1980-2015)"	"rd_p_persqual"	"dataset"	"21.03.2019"	"03.01.2024"	"1980"	"2015"	74809
"                    GBARD by socioeconomic objectives (NABS 1992) (1980-2007)"	"gba_nabsfin92"	"dataset"	"12.03.2010"	"03.01.2024"	"1980"	"2007"	171336
"            Community innovation survey"	"inn"	"folder"	" "	" "	" "	" "	
"                Community innovation survey 2022 (CIS2022)"	"inn_cis13"	"folder"	" "	" "	" "	" "	
"                    Information on enterprises"	"inn_cis13_info"	"folder"	" "	" "	" "	" "	
"                        Enterprises, employed persons and turnover by innovation status, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_bas"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	60076
"                        Enterprises by age and innovation status, NACE Rev.2 activity and size class (CIS2022)"	"inn_cis13_yreg"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	58760
"                        Enterprises by their belonging to an enterprise group, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_gen"	"dataset"	"25.06.2025"	"05.03.2025"	"2022"	"2022"	20559
"                        Enterprises by percentage of employees with university education, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_educ"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	29862
"                        Enterprises by market place, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_mrk"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	26721
"                        Turnover of enterprises by market place, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_mrkt"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	24814
"                        Enterprises by type and importance of market conditions, NACE Rev.2 activity and size class (CIS2022)"	"inn_cis13_cond"	"dataset"	"01.07.2025"	"05.03.2025"	"2022"	"2022"	134378
"                    Innovation"	"inn_cis13_inno"	"folder"	" "	" "	" "	" "	
"                        Innovation active enterprises without implemented innovation by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_inact"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	21269
"                        Innovation active enterprise with research and development (R&D) activities by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_inrd"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	24970
"                        Enterprises that introduced new or improved business processes by type of innovation, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_spec"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	38461
"                        Enterprises that introduced an innovation by type of innovation, developer, NACE Rev.2 activity and size class (CIS2022)"	"inn_cis13_prod"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	21755
"                        Turnover from new or significantly improved products by NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_prodt"	"dataset"	"11.12.2024"	"11.12.2024"	"2022"	"2022"	14229
"                        Enterprises that introduced new or significantly improved products by type of innovation, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_prodn"	"dataset"	"06.12.2024"	"28.11.2024"	"2022"	"2022"	29817
"                        Enterprises that co-operated on business activities with other entities by innovation status, NACE Rev. 2 activity and size class (CIS2022)"	"inn_cis13_co"	"dataset"	"06.12.2024"	"06.12.2024"	"2022"	"2022"	64621
"                        Innovation active enterprises that co-operated with other entities, by kind and location of co-operation partner, NACE Rev. 2 and size class (CIS2022)"	"inn_cis13_coop"	"dataset"	"06.12.2024"	"06.12.2024"	"2022"	"2022"	212474
